Reading Sample dataset...
13426 120836
60
Feature-Mapper: execute-mode, Anomaly-Detector: train-mode
Running KitNET:
0 0 0.49991136601093905
0 1000 0.1230258972619255
0 2000 0.04555508657598823
0 3000 0.030797190488168508
0 4000 0.02582622100799084
0 5000 0.02293097609588168
0 6000 0.022911317353925705
0 7000 0.03394197184061278
0 8000 0.02842292006613536
0 9000 0.02013974706870723
0 10000 0.02514395138059499
0 11000 0.015132632401829259
0 12000 0.01988712628942589
0 13000 0.011085703856187039
0 14000 0.016533662043422135
0 15000 0.019993093947461123
0 16000 0.013206424592666207
0 17000 0.013088223743700687
0 18000 0.018783057656361304
0 19000 0.016020340383526486
0 20000 0.00914100525514927
0 21000 0.012954877807049923
0 22000 0.008013681389066865
0 23000 0.011263492566583606
0 24000 0.008366000575343173
0 25000 0.010405763492484064
0 26000 0.018145016785144727
0 27000 0.009446417316764716
0 28000 0.029741361227846402
0 29000 0.008658659928089217
0 30000 0.011627666543129245
0 31000 0.031870820943799456
0 32000 0.00536099884812825
0 33000 0.006048841226819852
0 34000 0.008385744229069667
0 35000 0.010792160087855359
0 36000 0.006969011326067742
0 37000 0.01332292126302295
0 38000 0.0053247519170302356
0 39000 0.010389974904751185
0 40000 0.007997490526803746
0 41000 0.006390192472915269
0 42000 0.0074024171337641045
0 43000 0.009638526740579165
0 44000 0.008847140677644645
0 45000 0.005929059953674911
0 46000 0.021432754128622493
0 47000 0.010750410246210637
0 48000 0.007728351691135982
0 49000 0.012261061817928038
0 50000 0.011044208924898689
0 51000 0.005932109981502033
0 52000 0.0067468971113655955
0 53000 0.008558018087633498
0 54000 0.0249739947220321
0 55000 0.007065822830298125
0 56000 0.005883968049287708
0 57000 0.007948386458441651
0 58000 0.00631955512990763
0 59000 0.008588056980434149
0 60000 0.007833849862178409
0 61000 0.004478313337116518
0 62000 0.010716831576795977
0 63000 0.0072149795842640085
0 64000 0.011614550959454975
0 65000 0.007465515818381004
0 66000 0.009984947295415969
0 67000 0.012143966681724811
0 68000 0.007375188885728346
0 69000 0.006533687911096729
0 70000 0.013595894736548734
0 71000 0.008914298236805574
0 72000 0.005378631844627696
0 73000 0.005310979417155918
0 74000 0.006534127111827423
0 75000 0.0072808776146452035
0 76000 0.006274871164722133
0 77000 0.006867371057022347
0 78000 0.005636166879693525
0 79000 0.012270820291636357
0 80000 0.007315587077676781
0 81000 0.007493279207820951
0 82000 0.009721731949807655
0 83000 0.037747304708766395
0 84000 0.005494534037143392
0 85000 0.009005856418244564
0 86000 0.015065491904129317
0 87000 0.007611628359049129
0 88000 0.017425805542399826
0 89000 0.006160214292210796
0 90000 0.004813616424874939
0 91000 0.00859879730305733
0 92000 0.004718629384662614
0 93000 0.007087968859978406
0 94000 0.006211578803745106
0 95000 0.006957870067176204
0 96000 0.005266050366546256
0 97000 0.0077920063738951394
0 98000 0.005963988035483826
0 99000 0.019507071308415034
0 100000 0.005744355086135357
0 101000 0.007715991609019954
0 102000 0.008596119036779464
0 103000 0.006504614297514158
0 104000 0.0038075517096383842
